City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Marica,BR,2021-04-13 06:47:29,-22.9194,-42.8186,75.2,94,90,2.3
128,Lorengau,PG,2021-04-13 06:43:45,-2.0226,147.2712,76.39,89,100,5.41
129,Rocha,UY,2021-04-13 06:47:29,-34.4833,-54.3333,54.75,90,0,2.95
130,Korla,CN,2021-04-13 06:47:29,41.7597,86.1469,60.89,20,61,2.98
131,Ahipara,NZ,2021-04-13 06:47:30,-35.1667,173.1667,63.16,82,16,9.82
132,Cururupu,BR,2021-04-13 06:47:30,-1.8283,-44.8683,74.46,97,100,2.59
133,Souillac,MU,2021-04-13 06:47:30,-20.5167,57.5167,84.0,65,100,8.99
134,Anadyr,RU,2021-04-13 06:47:31,64.75,177.4833,10.4,85,40,17.9
135,Broome,US,2021-04-13 06:47:31,42.2506,-75.833,44.01,93,100,1.5
136,Narsaq,GL,2021-04-13 06:47:31,60.9167,-46.05,32.0,64,20,2.3
137,Holly Hill,US,2021-04-13 06:47:32,29.2436,-81.0376,64.0,77,1,8.55
138,Manggar,ID,2021-04-13 06:43:15,-2.8833,108.2667,83.62,69,100,7.65
139,Saint-Joseph,RE,2021-04-13 06:47:32,-21.3667,55.6167,86.0,62,0,19.57
140,Saskylakh,RU,2021-04-13 06:42:37,71.9167,114.0833,29.48,89,100,13.91
141,Marystown,CA,2021-04-13 06:47:33,47.1666,-55.1483,39.78,91,100,31.5
142,Chuy,UY,2021-04-13 06:47:33,-33.6971,-53.4616,55.81,80,0,3.87
143,Yekaterinovka,RU,2021-04-13 06:47:33,52.0508,44.3451,60.55,39,8,15.03
144,Ossora,RU,2021-04-13 06:47:34,59.2353,163.0719,8.42,78,19,3.53
145,Rikitea,PF,2021-04-13 06:47:34,-23.1203,-134.9692,78.24,70,5,9.8
146,Taperoa,BR,2021-04-13 06:47:34,-7.2075,-36.8267,69.66,94,99,7.18
147,Atbasar,KZ,2021-04-13 06:47:34,51.8,68.3333,39.74,95,100,11.16
148,Arlit,NE,2021-04-13 06:47:35,18.7369,7.3853,86.85,7,0,5.37
149,Hanna,CA,2021-04-13 06:45:06,51.6334,-111.9018,24.8,86,100,4.61
150,Mitchell,US,2021-04-13 06:47:35,43.7094,-98.0298,39.2,60,90,14.97
151,Merauke,ID,2021-04-13 06:47:36,-8.4667,140.3333,83.19,69,21,9.78
152,Marzuq,YE,2021-04-13 06:47:36,14.4,46.4667,84.33,21,30,3.94
153,Port Hardy,CA,2021-04-13 06:45:06,50.6996,-127.4199,42.8,93,1,3.44
154,Avarua,CK,2021-04-13 06:47:37,-21.2078,-159.775,73.4,94,20,2.3
155,Saint-Philippe,RE,2021-04-13 06:47:37,-21.3585,55.7679,86.0,62,0,19.57
156,Havre-Saint-Pierre,CA,2021-04-13 06:47:38,50.2334,-63.5986,39.2,70,1,8.05
157,Yatou,CN,2021-04-13 06:47:38,37.15,122.3833,45.52,35,5,20.96
158,Alice Springs,AU,2021-04-13 06:47:39,-23.7,133.8833,89.6,18,100,3.44
159,Chinhoyi,ZW,2021-04-13 06:47:39,-17.3667,30.2,70.83,42,0,8.99
160,Avera,US,2021-04-13 06:44:41,33.194,-82.5271,60.01,77,1,3.44
161,Dikson,RU,2021-04-13 06:47:40,73.5069,80.5464,26.8,91,100,23.24
162,Moose Factory,CA,2021-04-13 06:47:40,51.2585,-80.6094,37.4,93,1,8.05
163,Narrabri,AU,2021-04-13 06:47:40,-30.3167,149.7833,75.2,27,5,5.75
164,Fortuna,US,2021-04-13 06:47:41,40.5982,-124.1573,42.01,87,1,4.61
165,Haines Junction,CA,2021-04-13 06:44:18,60.7522,-137.5108,35.6,55,100,9.22
166,Bambous Virieux,MU,2021-04-13 06:47:41,-20.3428,57.7575,84.0,65,100,8.99
167,Mangai,CD,2021-04-13 06:47:41,-4.05,19.5333,72.61,83,99,3.29
168,Gaozhou,CN,2021-04-13 06:47:42,21.9392,110.8461,85.77,53,83,11.12
169,Teya,RU,2021-04-13 06:47:42,60.3778,92.6267,34.75,86,33,11.43
170,Koath,IN,2021-04-13 06:47:42,25.3167,84.2667,106.72,5,0,12.41
171,San Patricio,US,2021-04-13 06:47:43,28.017,-97.5169,77.0,88,90,6.91
172,Phalodi,IN,2021-04-13 06:47:43,27.1333,72.3667,101.35,8,1,5.55
173,Chokurdakh,RU,2021-04-13 06:47:44,70.6333,147.9167,7.63,89,15,7.36
174,Yeniseysk,RU,2021-04-13 06:47:44,58.4497,92.1703,34.25,84,100,10.13
175,Nalut,LY,2021-04-13 06:47:45,30.3333,10.85,60.13,64,100,15.9
176,Tarnogskiy Gorodok,RU,2021-04-13 06:47:45,60.4997,43.5761,45.21,93,100,8.39
177,Belmonte,BR,2021-04-13 06:47:45,-15.8631,-38.8828,69.8,83,0,5.75
178,Aloleng,PH,2021-04-13 06:47:46,16.1307,119.7824,84.49,66,100,12.44
179,Olafsvik,IS,2021-04-13 06:47:46,64.8945,-23.7142,40.64,91,46,10.96
180,Novo Oriente,BR,2021-04-13 06:47:46,-5.5344,-40.7742,68.27,90,100,0.31
181,Necochea,AR,2021-04-13 06:47:47,-38.5473,-58.7368,55.0,89,0,1.99
182,Uthal,PK,2021-04-13 06:47:47,25.8072,66.6219,92.41,27,17,10.18
183,Te Anau,NZ,2021-04-13 06:47:48,-45.4167,167.7167,49.59,87,65,2.62
184,Ormara,PK,2021-04-13 06:47:48,25.2088,64.6357,81.37,55,2,12.03
185,Mvomero,TZ,2021-04-13 06:47:49,-6.25,38.6667,77.0,94,75,8.05
186,Constitucion,CL,2021-04-13 06:45:56,-35.3333,-72.4167,58.73,75,0,6.11
187,Masterton,NZ,2021-04-13 06:47:49,-40.9597,175.6575,62.01,83,20,5.99
188,Sulangan,PH,2021-04-13 06:47:49,11.1373,123.7228,83.43,65,90,6.49
189,Salalah,OM,2021-04-13 06:47:50,17.0151,54.0924,84.2,58,0,6.91
190,Hamilton,US,2021-04-13 06:43:38,39.1834,-84.5333,51.01,76,20,4.61
191,Torzhok,RU,2021-04-13 06:47:50,57.0436,34.9622,54.1,73,100,7.16
192,Cherskiy,RU,2021-04-13 06:47:50,68.75,161.3,-2.88,88,53,1.63
193,Comodoro Rivadavia,AR,2021-04-13 06:45:01,-45.8667,-67.5,62.6,51,0,13.8
194,Pevek,RU,2021-04-13 06:47:51,69.7008,170.3133,-10.82,95,73,3.96
195,Altamont,US,2021-04-13 06:47:51,42.2068,-121.7372,46.4,21,1,13.8
196,Richards Bay,ZA,2021-04-13 06:47:52,-28.783,32.0377,77.16,75,1,4.54
197,Vila,PT,2021-04-13 06:47:52,42.0304,-8.1588,46.99,92,100,10.0
198,Bairiki,KI,2021-04-13 06:47:52,1.3292,172.9752,82.4,78,40,4.61
199,Turochak,RU,2021-04-13 06:47:53,52.2576,87.1224,37.92,90,100,6.33
200,Ambon,ID,2021-04-13 06:44:08,-3.6954,128.1814,87.8,66,40,6.91
201,Gambo,CF,2021-04-13 06:47:53,4.6482,22.2633,69.62,96,100,4.63
202,Okhotsk,RU,2021-04-13 06:47:54,59.3833,143.3,21.42,70,100,4.07
203,Novobirilyussy,RU,2021-04-13 06:47:54,56.9514,90.6661,40.77,60,86,10.42
204,Salvador,SV,2021-04-13 06:47:37,13.8333,-88.9167,78.8,78,0,1.14
205,Nanortalik,GL,2021-04-13 06:47:55,60.1432,-45.2371,33.76,79,11,3.44
206,Dzilam Gonzalez,MX,2021-04-13 06:47:55,21.2833,-88.9333,77.25,84,0,6.69
207,Ilulissat,GL,2021-04-13 06:47:56,69.2167,-51.1,32.0,93,90,13.8
208,Cidreira,BR,2021-04-13 06:47:56,-30.1811,-50.2056,67.96,71,93,3.8
209,Burnie,AU,2021-04-13 06:47:57,-41.0667,145.9167,55.99,78,100,14.0
210,Mastic Beach,US,2021-04-13 06:47:57,40.7668,-72.8521,44.6,76,75,3.44
211,Ila,NO,2021-04-13 06:47:57,63.4305,10.3705,36.0,70,100,5.01
212,Sistranda,NO,2021-04-13 06:47:58,63.7256,8.834,35.6,69,75,4.61
213,Poum,NC,2021-04-13 06:47:58,-20.2333,164.0167,78.98,81,66,18.07
214,Upernavik,GL,2021-04-13 06:47:59,72.7868,-56.1549,14.27,94,100,12.8
215,Usinsk,RU,2021-04-13 06:47:59,65.9939,57.5281,32.61,99,100,5.64
216,Waingapu,ID,2021-04-13 06:47:59,-9.6567,120.2641,83.17,72,11,7.87
217,Chapais,CA,2021-04-13 06:48:00,49.7834,-74.8492,37.4,87,1,5.75
218,Westport,US,2021-04-13 06:48:00,41.1415,-73.3579,45.0,94,95,8.59
219,Tilichiki,RU,2021-04-13 06:48:00,60.4667,166.1,2.44,85,14,6.96
220,Bambanglipuro,ID,2021-04-13 06:48:01,-7.95,110.2833,84.78,68,25,8.14
221,Sitka,US,2021-04-13 06:48:01,57.0531,-135.33,39.2,75,90,14.97
222,Rio Blanco,MX,2021-04-13 06:48:01,18.8333,-97.15,68.04,57,2,3.27
223,Carnarvon,AU,2021-04-13 06:48:02,-24.8667,113.6333,77.49,44,0,23.33
224,Sembakung,ID,2021-04-13 06:48:02,3.8167,117.25,89.6,62,40,3.44
225,Bengkulu,ID,2021-04-13 06:48:02,-3.8004,102.2655,84.61,64,72,7.87
226,Ponta Do Sol,PT,2021-04-13 06:48:03,32.6667,-17.1,64.0,87,100,1.99
227,Taltal,CL,2021-04-13 06:48:03,-25.4,-70.4833,62.15,83,50,2.17
228,Clyde River,CA,2021-04-13 06:48:04,70.4692,-68.5914,8.6,92,90,27.63
229,Barcelos,PT,2021-04-13 06:48:04,41.5388,-8.6151,53.6,87,40,18.41
230,Goma,CD,2021-04-13 06:48:04,-1.6792,29.2228,66.2,77,75,6.91
231,Hanzhong,CN,2021-04-13 06:48:05,33.0728,107.0303,60.76,84,100,0.89
232,Lagoa,PT,2021-04-13 06:48:05,39.05,-27.9833,60.35,88,98,24.52
233,Hambantota,LK,2021-04-13 06:48:06,6.1241,81.1185,91.4,55,40,2.3
234,Hayrabolu,TR,2021-04-13 06:48:06,41.2131,27.1069,51.8,82,10,6.91
235,Kautokeino,NO,2021-04-13 06:48:06,69.0125,23.0412,14.23,86,71,1.99
236,Mahayag,PH,2021-04-13 06:48:07,8.1183,123.4455,86.95,63,73,4.7
237,Ourem,PT,2021-04-13 06:48:07,39.6417,-8.5919,57.99,94,100,2.98
238,Barabinsk,RU,2021-04-13 06:46:01,55.3571,78.357,34.52,100,100,10.6
239,Iskateley,RU,2021-04-13 06:48:08,67.6803,53.1512,32.65,86,100,8.01
240,Da Lat,VN,2021-04-13 06:44:41,11.9465,108.4419,81.01,38,83,2.82
241,Presidencia Roque Saenz Pena,AR,2021-04-13 06:48:08,-26.7852,-60.4388,62.01,88,94,1.99
242,Nicoya,CR,2021-04-13 06:45:35,10.1483,-85.452,75.2,100,75,3.44
243,Ixtapa,MX,2021-04-13 06:48:09,20.7,-105.2,67.26,81,39,2.55
244,Fort Dodge,US,2021-04-13 06:48:09,42.4975,-94.168,42.8,56,90,13.8
245,Punta Cardon,VE,2021-04-13 06:48:09,11.6581,-70.215,78.55,85,66,21.94
246,Srednekolymsk,RU,2021-04-13 06:48:10,67.45,153.6833,8.73,79,35,0.2
247,Namibe,AO,2021-04-13 06:47:02,-15.1961,12.1522,82.06,65,72,6.87
248,Hirara,JP,2021-04-13 06:48:10,24.8,125.2833,80.6,69,20,8.05
249,Ancud,CL,2021-04-13 06:48:10,-41.8697,-73.8203,60.01,100,40,8.05
250,Coquimbo,CL,2021-04-13 06:48:11,-29.9533,-71.3436,51.8,100,0,3.44
251,Mendi,PG,2021-04-13 06:48:11,-6.1761,143.6513,60.96,80,100,3.85
252,Ayagoz,KZ,2021-04-13 06:48:12,47.9714,80.4392,59.74,26,5,19.69
253,Lensk,RU,2021-04-13 06:48:12,60.7253,114.9278,34.34,83,100,7.78
254,Camana,PE,2021-04-13 06:48:13,-16.6228,-72.7111,68.36,83,98,6.38
255,Maldonado,UY,2021-04-13 06:48:13,-34.6667,-54.9167,53.6,94,0,3.44
256,Lusambo,CD,2021-04-13 06:48:13,-4.9667,23.45,71.67,88,99,0.98
257,Dukat,RU,2021-04-13 06:48:14,62.55,155.55,-2.0,89,44,2.84
258,Isangel,VU,2021-04-13 06:48:14,-19.55,169.2667,86.0,79,40,2.89
259,Laguna,US,2021-04-13 06:48:15,38.421,-121.4238,57.2,58,1,6.91
260,Tiksi,RU,2021-04-13 06:44:08,71.6872,128.8694,21.65,70,14,14.36
261,Wajima,JP,2021-04-13 06:48:15,37.4,136.9,57.2,88,75,5.75
262,Sambava,MG,2021-04-13 06:48:16,-14.2667,50.1667,82.18,72,91,10.83
263,Asau,RO,2021-04-13 06:48:16,46.4333,26.4,60.01,27,8,3.87
264,Tornio,FI,2021-04-13 06:48:17,65.8481,24.1466,33.8,93,90,9.22
265,Mglin,RU,2021-04-13 06:48:17,53.0591,32.8475,57.65,70,98,11.14
266,Palu,ID,2021-04-13 06:48:17,-0.8917,119.8707,83.32,80,78,4.92
267,Pampierstad,ZA,2021-04-13 06:48:17,-27.7832,24.6877,76.24,26,1,9.28
268,Vardo,NO,2021-04-13 06:48:18,70.3705,31.1107,26.6,68,0,11.5
269,Houma,US,2021-04-13 06:44:58,29.5958,-90.7195,64.99,98,0,6.8
270,Abu Dhabi,AE,2021-04-13 06:45:27,24.4667,54.3667,95.0,20,0,4.61
271,Madison,US,2021-04-13 06:45:26,34.7334,-86.5667,59.0,94,1,2.39
272,Weihe,CN,2021-04-13 06:48:19,32.9952,105.3247,57.87,73,100,4.32
273,Kupang,ID,2021-04-13 06:48:19,-10.1667,123.5833,82.99,74,20,7.23
274,Shieli,KZ,2021-04-13 06:48:19,44.1667,66.75,63.97,31,16,14.7
275,Varnavino,RU,2021-04-13 06:48:20,57.4035,45.0916,46.09,98,100,6.89
276,Los Llanos De Aridane,ES,2021-04-13 06:48:20,28.6585,-17.9182,68.0,77,0,2.64
277,Luderitz,NA,2021-04-13 06:48:21,-26.6481,15.1594,85.15,27,0,14.61
278,George Town,MY,2021-04-13 06:48:21,5.4112,100.3354,89.6,62,40,6.91
279,Sabang,ID,2021-04-13 06:48:21,5.8933,95.3214,83.82,70,30,12.55
280,Aklavik,CA,2021-04-13 06:48:22,68.2191,-135.0107,24.8,54,98,2.3
281,Kiunga,PG,2021-04-13 06:48:22,-6.1219,141.2906,80.11,83,99,2.57
282,Burgersdorp,ZA,2021-04-13 06:48:23,-30.9977,26.3286,75.07,25,7,3.31
283,Matadi,CD,2021-04-13 06:48:23,-5.8167,13.45,78.48,85,100,3.76
284,Beloha,MG,2021-04-13 06:48:23,-25.1667,45.05,81.03,58,91,13.73
285,Yangjiang,CN,2021-04-13 06:48:24,21.85,111.9667,89.01,51,12,10.6
286,Iqaluit,CA,2021-04-13 06:48:24,63.7506,-68.5145,23.0,86,75,25.32
287,Am Timan,TD,2021-04-13 06:48:24,11.0297,20.2827,89.19,8,65,14.5
288,Uberlandia,BR,2021-04-13 06:48:25,-18.9186,-48.2772,68.0,45,0,6.91
289,Cairns,AU,2021-04-13 06:47:11,-16.9167,145.7667,81.0,69,75,10.36
290,Xining,CN,2021-04-13 06:48:25,36.6167,101.7667,54.0,38,38,11.27
291,Ternate,ID,2021-04-13 06:48:26,0.8,127.4,82.99,75,100,8.68
292,Yar-Sale,RU,2021-04-13 06:48:26,66.8333,70.8333,30.27,77,29,21.5
293,Horta,PT,2021-04-13 06:48:27,38.5333,-28.6333,60.8,94,75,24.16
294,Taoudenni,ML,2021-04-13 06:48:27,22.6783,-3.9836,85.06,12,5,6.51
